Producto,Descripcion,Categoria,Response,
Portapapel Clásica,Portapapel de empotrar. Incluye tubo portapapel. Acabado Cromo,Portarrollos,"
Portapapel Clásica de Helvex es una solución perfecta para tener todos tus papeles organizados. Esta portapapel de empotrar incluye un tubo portapapel con acabado cromado, y es ideal para una instalación de Simplo. El porta rollo es fácil de instalar y se ajusta a la perfección a tu baño o cocina. Su diseño clásico y elegante aporta un toque moderno a tu hogar. Además, su resistente acabado cromado lo hace duradero y fácil de limpiar. El Portapapel Clásica de Helvex es la mejor opción para mantener tus papeles organizados sin comprometer el estilo de tu hogar.",
Coladera para Baño,"Coladera de una boca, de rejilla redonda. Sello hidráulico. No permte paso de malos olores.",Coladeras,"
La Coladera para Baño de Helvex es una excelente opción para tu instalación de Simplo. Esta coladera de una boca, cuenta con una rejilla redonda y un sello hidráulico para evitar el paso de malos olores. Está diseñada para soportar altas temperaturas y presiones, asegurando la correcta salida de los desagües. Su material de acero inoxidable le da una apariencia moderna y resistente a la corrosión. Esta coladera es una excelente opción para tu baño, ya que ofrece una instalación sencilla y una gran durabilidad.",
WC Drakar,"Inodoro, taza y tanque Drakar clongado con trampa expuesta y descarga de 4.8 LPD. Con botón accionador. No incluye asiento.",WC,"El WC Drakar de Helvex es un inodoro moderno y resistente, ideal para cualquier baño. Está equipado con una trampa expuesta y una descarga de 4.8 LPD. El botón accionador asegura una instalación de Simplo. Esta taza de inodoro se completa con un tanque clongado para una mayor resistencia. No incluye asiento, lo que permite personalizarlo según tus necesidades. El WC Drakar de Helvex es un producto de alta calidad, diseñado para durar.",
Regadera chorro fijo Nuva,Regadera de chorro fijo con sistema anticalcáreo. Incluye brazo y chapetón. Nudo móvil de latón. Acabado Cromo.Presión mínima requerida 1.00 kg/cm2. Consumo máximo de agua 10L/min,Regaderas,"La Regadera chorro fijo Nuva de Helvex es una excelente opción para tus regaderas de baño. Viene con un sistema anticalcáreo, un brazo y chapetón de latón, y un acabado cromado. Está diseñada para una instalación de Simplo, y requiere una presión mínima de 1.00 kg/cm2 para funcionar. Su consumo máximo de agua es de 10L/min, lo que la hace ideal para regaderas de baño. Esta regadera ofrece una experiencia de baño cómoda y segura, con una presión de agua estable. Esta regadera de chorro fijo de Helvex es una excelente opción para tus necesidades de regadera de baño.",
Taza WC 2.5 elongada compacta,Taza WC 2.5 elongada compacta y trampa semioculta Sistema Turvex. Cuenta con 4 jets para una limpieza total. No incluye asiento.,WC,"La Taza WC 2.5 elongada compacta de Helvex es un inodoro ideal para baños pequeños. Está equipada con un sistema Turvex de trampa semioculta que ofrece una limpieza profunda gracias a sus 4 jets. Esta taza WC es perfecta para la instalación de Simplo, ya que su diseño compacto se ajusta a los espacios más reducidos. Su material es resistente y duradero, asegurando una larga vida útil. Esta taza WC viene sin asiento, lo que la hace más fácil de limpiar. Esta taza WC es la mejor opción para aquellos que buscan un inodoro que se ajuste a sus necesidades.",
Llave de lavabo Antares,"Mezcladora de lavabo 4"", Incluye contra de rejilla. Incluye inserto para usarse con lavabos sin rebosadero. Compatible con lavabos de sobrecubierta o bajocubierta. Acabado cromo. Presión mínima requerida 0.25kg/cm2",Monomando lavabo,"La Llave de Lavabo Antares de Helvex es un monomando para lavabo con una instalación de Simplo. Esta mezcladora de lavabo cuatro incluye una contra de rejilla, y un inserto para usarse con lavabos sin rebosadero. Es compatible con lavabos de sobrecubierta o bajocubierta, y su acabado es cromo. Además, el monomando para lavamanos Antares de Helvex requiere una presión mínima de 0.25 kg/cm2 para funcionar adecuadamente. Esta mezcladora de lavabo cuatro es una opción ideal para aquellos que buscan un producto de calidad y durabilidad.",
Llave alta de lavabo Nautilia,Monomando alto de lavabo. Incluye contra de push. Maneral de instalación independiente. Incluye inserto para usarse con lavabos sin rebosadero. Acabado Cromo. Presión mínima requerida 0.70 kg/cm2. Recomendado para lavabos de sobreponer.,Monomando lavabo,"La Llave alta de lavabo Nautilia de Helvex es un monomando alto para lavabo con una instalación de Simplo. Incluye una contra de push para una fácil operación. El maneral de instalación es independiente, lo que permite su uso con lavabos sin rebosadero. El acabado es cromo y requiere una presión mínima de 0.70 kg/cm2. Esta llave alta de lavabo es ideal para lavabos de sobreponer y también para lavamanos. Está fabricada con materiales de la más alta calidad para garantizar una larga vida útil y una excelente resistencia a la corrosión. Esta llave alta de lavabo es una excelente opción para cualquier hogar.",
Regadera de Chorro Fijo,Regadera de chorro fijo. Nudo móvil. Presión mínima recomendada 1.00 Kg/cm2. consumo de agua máximo 6 L/min. Acabado Cromo.,Regaderas,"La Regadera de Chorro Fijo de Helvex es el mejor producto para tus regaderas para baño. Esta regadera de baño está diseñada para proporcionar una experiencia de baño relajante, con un chorro de agua estable y suave. Cuenta con un nudo móvil para una mayor presión de agua, y su presión mínima recomendada es de 1.00 Kg/cm2. Esta regadera de baño también es muy eficiente, con un consumo de agua máximo de 6 L/min. Esta regadera de baño está hecha con un acabado cromado para un estilo moderno y elegante, perfecto para cualquier baño. La instalación de Simplo de esta regadera de baño es fácil y segura, permitiendote disfrutar de la comodidad de tu baño.",
Asiento mecánico tipo bidet ATM,"Asiento Mecánico con funciones tipo Bidet para inodoro elongando. Incluye Antibacterial. Color Blanco. Compatible con WC´s elongados: OP Rivoli Plus, WC Miura16, WC Miura16 TCC, WC Ródano16, WC Bolmen16, WC Option, WC Austral, WC Austral P, WC 2.5, WC Drakar2, WC Drakar16.",Asientos WC,"El Asiento Mecánico tipo Bidet ATM de la marca Helvex es un asiento para WC diseñado para proporcionar comodidad y limpieza. Está equipado con funciones tipo Bidet para inodoro elongando, antibacterial y color blanco. Está diseñado para ser instalado en una variedad de tazas de baño, como OP Rivoli Plus, WC Miura16, WC Miura16 TCC, WC Ródano16, WC Bolmen16, WC Option, WC Austral, WC Austral P, WC 2.5, WC Drakar2, WC Drakar16. Además, su instalación es fácil y rápida gracias a la tecnología Simplo. Este asiento mecánico es una excelente opción para aquellos que buscan comodidad, limpieza y facilidad de instalación.",
Toallero sencillo Konos,Toallero sencillo. Acabado Cromo,Toallero,"El Toallero sencillo Konos de Helvex es un producto de acabado cromo que ofrece la solución perfecta para tener tus toallas a mano. Su instalación es de Simplo, lo que significa que es fácil y rápido de montar. El toallero cuenta con una estructura robusta y resistente que le permite soportar hasta 5 toallas, manteniendo tu baño organizado y limpio. Su diseño moderno y minimalista se adapta a cualquier estilo de baño. Además, el toallero es resistente a la humedad y al calor, lo que lo hace ideal para uso en baños con duchas y bañeras. Gracias a su diseño ergonómico, el toallero se ajusta perfectamente a la pared, ofreciendo una instalación segura y confiable. El toallero sencillo Konos de Helvex es la solución perfecta para porta toallas en tu baño.",
Coladera para Baño,"Coladera de tres bocas, rejilla redonda. Sello hidráulico. No permite el paso de malos olores.",Coladeras,"
La Coladera para Baño de Helvex es una herramienta de calidad para la instalación de desagües. Esta coladera de tres bocas, rejilla redonda, cuenta con un sello hidráulico que no permite el paso de malos olores. La Instalación de Simplo facilita el montaje de la coladera, lo que le permite ahorrar tiempo y esfuerzo. Esta coladera para baño es resistente y duradera, lo que le garantiza un excelente desempeño a lo largo del tiempo. Su diseño moderno le da un toque elegante al baño. La Coladera para Baño de Helvex es ideal para su hogar.",
Coladera para Exterior,"Coladera de rejilla redonda con campana. Conexión para tubo de 102 mm (4""). De rocar. Para patios, garages, terrazas, etc. Con gran capacidad de drenado. Tránsito pesado, Sello hidráulico.",Coladeras,"La Coladera para Exterior de Helvex es la solución perfecta para espacios al aire libre como patios, garages y terrazas. Esta coladera de rocar de rejilla redonda con campana cuenta con una conexión para tubo de 102 mm (4"") para facilitar la instalación de Simplo y una gran capacidad de drenado para los desagües. Además, posee un tránsito pesado y un sello hidráulico que le aportan resistencia y durabilidad. No busques más, esta coladera para exterior es la mejor opción para tu espacio.",
Rebosadero de rejilla,"Rebosadero de rejilla redonda. Conexión para tubo 51 mm (2""). De retacar. Acero Inoxidable",Coladeras,"El Rebosadero de rejilla de Helvex es un producto de alta calidad hecho de acero inoxidable. Está diseñado para conectar tubos de 51 mm (2"") de diámetro para una instalación de Simplo. Esta rejilla redonda es fácil de retacar para una instalación rápida y segura. Está diseñada para soportar los desagües y los flujos de agua, evitando que el agua se salga del lugar. El Rebosadero de rejilla de Helvex es un producto que ofrece resistencia y durabilidad, ideal para una instalación segura y eficiente.",
Llave de lavabo Piazza,"Monomando de lavabo. No incluye contra. Compatible con lavabos de sobreponer (1 orificio), sobrecubierta o bajocubierta. Acabado Cromo. Presión mínima requerida 0.5 kg/cm2.",Monomando lavabo,"La Llave de lavabo Piazza de Helvex es una opción ideal para los monomandos para lavabo. Esta llave de lavabo es compatible con lavabos de sobreponer (1 orificio), sobrecubierta o bajocubierta. Viene con un acabado cromo que le da una apariencia moderna y elegante. Esta llave de lavabo es resistente y duradera, y no requiere una instalación de Simplo. Además, es perfecta para los monomandos para lavamanos, ya que requiere una presión mínima de 0.5 kg/cm2. Esta llave de lavabo es fácil de usar, y una excelente opción para los lavabos de tu hogar.",
Llave de lavabo Explora ecológica,"Monomando de lavabo. Incluye contra de rejilla. Con cartucho ecológico. Ahorro de agua y energía. Incluye inserto para usarse con lavabos sin rebosadero. Compatible con lavabos de sobreponer (1 orificio), sobrecubierta o bajocubierta. Acabado Cromo. Presión mínima requerida 0.60 kg/cm2.",Monomando lavabo,"La Llave de Lavabo Explora Ecológica de Helvex es un monomando para lavabo con una instalación de Simplo, que incluye una contra de rejilla con un cartucho ecológico para ahorrar agua y energía. Esta llave es compatible con lavabos de sobreponer (1 orificio), sobrecubierta o bajocubierta, y cuenta con un inserto para usarse con lavabos sin rebosadero. Su acabado en cromo le da un toque moderno a tu baño, y la presión mínima requerida es de 0.60 kg/cm2. Esta llave también es ideal para lavamanos, ya que su instalación de Simplo la hace fácil de usar. Con la Llave de Lavabo Explora Ecológica de Helvex, tendrás un producto de calidad con un diseño moderno y funcional.",
Llave electrónica Omega ecológica,Llave de lavabo electrónica de sensor de baterias Omega. Presión mínima recomendada 0.50 kg/cm2. Consumo de agua 1.9 L/min. Acabado Cromo. Requiere baterias alcalinas AA.,Monomandos electronicos,"La Llave mezcladora electrica Omega ecológica de Helvex es una innovación en cuanto a tecnología de ahorro de agua. Esta llave cuenta con un sensor de baterías que permite una presión mínima recomendada de 0.50 kg/cm2 y un consumo de agua de 1.9 L/min. El acabado de la llave es en cromo, lo que le da un toque moderno y elegante a tu baño. Esta llave es ideal para la instalación de Simplo, ya que no requiere mucho tiempo ni esfuerzo para su instalación. Esta llave también requiere baterías alcalinas AA, para un uso eficiente. Esta llave mezcladora electrica Omega ecológica de Helvex es una excelente opción para ahorrar agua y energía en tu hogar.",
"Regadera de Limpieza Automática con Válvula de Control, Brazo y Chapetón","Regadera de limpieza automática con válvula de control, brazo y chapetón.",Regaderas,"
La Regadera de Limpieza Automática con Válvula de Control, Brazo y Chapetón de Helvex es una excelente opción para una regadera para baño moderna. Esta regadera de baño de alta calidad es ideal para los que quieren una instalación de Simplo, ya que su diseño se adapta fácilmente a cualquier baño. La válvula de control, el brazo y el chapetón, ofrecen una limpieza profunda, permitiendo una limpieza más rápida y eficiente. Además, la válvula de control te permite controlar el flujo de agua de manera precisa, para que no tengas que preocuparte por desperdiciar agua. Esta regadera es segura, duradera y fácil de usar, lo que la hace perfecta para cualquier baño.",
Secador de manos,Secador de manos turbo con sensor de corriente. Tiempo de secado de 10 a 15 segundos. Color blanco.,,,
Fluxómetro de pedal,"Fluxómetro de pedal expuesto para taza flux cuerpo oculto, spud de 32mm ó 38mm, 4.8L por descarga. Presión mínima requerida 1.00 kg/cm2. Acabado cromo.",Fluxometros,"El Fluxómetro de Pedal de Helvex es una válvula de descarga con un expuesto para taza flux cuerpo oculto, spud de 32mm ó 38mm, 4.8L por descarga. Esta presión mínima requerida de 1.00 kg/cm2 para su instalación de Simplo. El acabado cromo le da un toque moderno y elegante a tu baño. El Fluxómetro de Pedal de Helvex es la mejor solución para tener una descarga fluida, sin preocuparte por el uso excesivo de agua. Su instalación es rápida y sencilla, lo que la hace perfecta para cualquier baño. El Fluxómetro de Pedal de Helvex es un producto de alta calidad, construido con materiales resistentes y duraderos, que te ofrecerá una larga vida útil.",
Toallero sencillo Access,Toallero corto Access. Acabado Cromo,Toallero,"
El Toallero Sencillo Access de Helvex es un producto de primera calidad que ofrece una solución práctica y moderna para organizar tu baño. Está fabricado con acabado cromado, lo que lo hace resistente a la humedad y fácil de limpiar. Su diseño sencillo se adapta a cualquier estilo de baño. La instalación es de Simplo, lo que significa que se puede instalar en poco tiempo y sin complicaciones. Este producto es ideal para aquellos que buscan un producto duradero y de alta calidad para guardar sus toallas. Cuenta con una barra de acero inoxidable para colgar toallas y una repisa de vidrio para guardar toallas dobladas. Es una solución perfecta para aquellos que buscan un toallero moderno, resistente y fácil de instalar.",
Monomando de regadera o tina Squadra,"Monomando para regadera , tina o regadera manual con desviador. Acabado Cromo. Presión mínima requerida 1.00 kg/cm2",Monomando regadera,"El Monomando de regadera o tina Squadra de Helvex es una excelente opción para mejorar la instalación de tu regadera. Esta llave monomando cuenta con un acabado cromado, que le da un toque de elegancia a tu baño. El Monomando de regadera Squadra es fácil de instalar y cuenta con un desviador para cambiar entre el agua fría y el agua caliente. Esta llave monomando requiere una presión mínima de 1.00 kg/cm2 para una instalación de Simplo. Esta llave monomando de regadera es una excelente opción para mejorar tu baño, gracias a su moderno diseño y a su resistencia.",
Llave de hospital,Llave de hospital de cuello de ganso con pedal expuesto. Incluye manguera de conexión a la salida y a la válvula de pedal. Llave de cuello giratorio. Presión requerida 0.25 Kg/cm2. Acabado Cromo.,Monomandos hospital,[],
Llave de lavabo Bamboo,"Monomando de lavabo. Control de flujo y temperatura con un solo movimiento. Incluye contra de push. Compatible con lavabos de sobreponer (1 orificio), sobrecubierta o bajocubierta. Incluye inserto para usarse con lavabos sin rebosadero. Acabado cromo. Presión mínima requerida 0.80 kg/cm2",Monomando lavabo,"La Llave de Lavabo Bamboo de Helvex es un monomando para lavabo con control de flujo y temperatura con un solo movimiento. Incluye una contra de push y es compatible con lavabos de sobreponer (1 orificio), sobrecubierta o bajocubierta. También incluye un inserto para usarse con lavabos sin rebosadero. Esta llave de lavabo cuenta con acabado cromo y una presión mínima requerida de 0.80 kg/cm2, lo que la hace ideal para la instalación de Simplo. Esta misma llave también es utilizada para monomandos para lavamanos, lo que la hace una excelente opción para su hogar.",
Coladera para Baño,"Coladera de una boca, rejilla cuadrada. Sello hidráulico. No permite el paso de malos olores.",Coladeras,"
La Coladera para Baño de Helvex es una solución ideal para tus desagües. Esta coladera cuenta con una rejilla cuadrada y un sello hidráulico para evitar el paso de malos olores. Su instalación es de tipo Simplo para una mayor facilidad en su montaje. Su diseño es moderno y elegante, ideal para cualquier baño. Su material es resistente al desgaste, y su sistema de sellado es de última generación. Esta coladera te permitirá disfrutar de un baño sin olores desagradables. Además, su instalación es sencilla y se adapta a cualquier estilo de baño. Su calidad y diseño la hacen una excelente opción para tu hogar.",
Regadera de chorro fijo H-3003,"Regadera de chorro fijo con sistema anticalcáreo, plato ancho de 7"". Acabado Cromo. Presión mínima requerida 1.00 Kg/cm2. Cosnumo máximo de agua 10 L/min",Regaderas,"La Regadera de Chorro Fijo H-3003 de Helvex es una excelente opción para tu baño. Esta regadera de baño cuenta con un sistema anticalcáreo y un plato ancho de 7"", acabado cromo. La instalación de Simplo hace que sea fácil de instalar y usar. Esta regadera ofrece una presión mínima requerida de 1.00 Kg/cm2 y un consumo máximo de agua de 10 L/min. Esta regadera es una excelente opción para aquellos que buscan regaderas para baño de alta calidad y durabilidad.",
Monomando de regadera o tina Máxima,Monomando para regadera o tina sin desviador. Acabado Cromo. Presión mínima requerida 1.00 kg/cm2,Monomando regadera,"El Monomando de Regadera o Tina Máxima de Helvex es una llave monomando de instalación de Simplo que ofrece un acabado cromado y una presión mínima requerida de 1.00 kg/cm2. Esta llave monomando para regadera es ideal para quienes buscan una solución simple para su regadera o tina sin desviador. Su instalación es sencilla y se puede hacer con facilidad. El Monomando de Regadera o Tina Máxima de Helvex ofrece una durabilidad y resistencia excepcionales, garantizando una larga vida útil a tu regadera o tina. Su diseño moderno y elegante seguramente aportará un toque de estilo a tu baño. Además, su uso es sencillo y su limpieza es fácil. El Monomando de Regadera o Tina Máxima de Helvex es la mejor opción para aquellos que buscan una solución práctica para sus regaderas.",
Toallero de barra Piura,Toallero largo de barra. Acabado Cromo.,Toallero,"
El Toallero de barra Piura de Helvex es una excelente opción para tener porta toallas en tu hogar. Está fabricado con un acabado cromo y cuenta con una instalación de Simplo para una fácil instalación en la pared. Su diseño largo de barra te permite guardar una gran cantidad de toallas sin ocupar mucho espacio. Es resistente al agua y a la humedad, por lo que es ideal para usar en baños o cocinas. El toallero de barra Piura de Helvex es una excelente opción para mantener tu hogar organizado y con un toque de estilo.",
Coladera decorativa para Baño,"Coladera decorativa alargada de 90 cm, perfil de latón con charola de acero inoxidable y base de hierro gris. Sello hidráulico. No permite el paso de malos olores.",Coladeras,"La Coladera decorativa para Baño de Helvex es un producto de alto nivel. Está hecha de latón con una charola de acero inoxidable y una base de hierro gris. Es de 90 cm de largo, lo que la hace ideal para los desagües. Además, cuenta con un sello hidráulico que impide el paso de malos olores. Su instalación es de Simplo, lo que la hace muy fácil de colocar. Esta coladera decorativa es una excelente opción para darle un toque moderno y elegante a tu baño.",
Toallero de barra Nuva,Toallero largo de barra. Acabado Cromo.,Toallero,"
El Toallero de barra Nuva de Helvex es una solución práctica y moderna para tener tus toallas a mano. Está hecho de acero cromado de alta calidad para una durabilidad y resistencia a la corrosión. Está diseñado para una instalación de Simplo y su porta toallas permite un fácil acceso a tus toallas. Su diseño moderno y elegante se adapta a cualquier baño. Su barra de acero de alta calidad es resistente al desgaste y a la humedad, lo que lo hace perfecto para uso diario. Es una excelente opción para aquellos que buscan un toallero de barra duradero y de alta calidad.",
Llave de cocina Premier,Mezcladora para fregadero. Sistema anticalcáreo. Cuello giratorio. Cabezal movible 360º y dos tipos de chorro. Acabado Cromo. Presión mínima requerida 1.0 kg/cm2,Monomando cocina,"La Llave de Cocina Premier de Helvex es una monomando para cocina de alta calidad, ideal para la instalación de Simplo. La llave monomando cuenta con un sistema anticalcáreo, cuello giratorio, cabezal movible de 360º, dos tipos de chorro y acabado cromado. Esta llave para fregadero permite una presión mínima requerida de 1.0 kg/cm2, lo que la hace una opción ideal para tu cocina. Su diseño moderno y resistente te permitirá disfrutar de un flujo de agua duradero. Esta llave de cocina Premier de Helvex es una excelente opción para disfrutar de una experiencia de uso óptima.",
Lavabo Trazzo,"Lavabo cerámico de sobreponer sin rebosadero Trazzo. Cerámica al alto brillo, grado de calidad ""A"" y grueso espesor. Compatible con monomandos altos.",Lavabos,"
El Lavabo Trazzo de Helvex es un lavabo para baño de sobreponer sin rebosadero que ofrece un alto brillo y una calidad de grado ""A"". Es un lavamanos de espesor grueso que, además, es compatible con monomandos altos. Está diseñado para una instalación de Simplo, lo que lo hace ideal para una instalación rápida y sencilla. El diseño moderno y minimalista del Lavabo Trazzo de Helvex hará que tu baño luzca elegante y moderno. Además, su material de cerámica de alta calidad lo hace resistente y duradero, asegurando que tu baño se mantenga hermoso durante muchos años.",
Monomando de regadera o tina Explora,Monomando para regadera o tina con desviador. Acabado Cromo. Presión mínima requerida 1.00 kg/cm2,Monomando regadera,"El Monomando de regadera o tina Explora de Helvex es una excelente opción para la instalación de Simplo. Está fabricado con acabado cromo y cuenta con una presión mínima requerida de 1.00 kg/cm2. Esta llave monomando regadera es perfecta para tener un control total de la salida de agua. Además, es una solución versátil para monomandos para regadera y tina. Esta llave monomando regadera es resistente a la corrosión, diseñada para durar muchos años. Su diseño moderno y sencillo hará de tu baño un espacio único. Explora de Helvex es la mejor opción para tener una instalación de Simplo con la mejor calidad.",
Llave de lavabo Nuva,Monomando de lavabo. Incluye contra de push. Incluye inserto para usarse con lavabos sin rebosadero. Presión mínima recomendada 0.60 Kg/cm2. Consumo de agua máximo 1.9 L/min. Acabado Cromo.,Monomando lavabo,"La Llave de Lavabo Nuva de Helvex es una solución práctica para la instalación de monomandos para lavabo y lavamanos. Esta llave de lavabo cuenta con una presión mínima recomendada de 0.60 Kg/cm2 y un consumo máximo de agua de 1.9 L/min. Su acabado cromado hace que sea una excelente opción para la instalación de Simplo. Además, incluye una contra de push y un inserto para usarse con lavabos sin rebosadero. Esta llave de lavabo ofrece una solución sencilla y eficaz para el uso diario.",
Desagüe para tina,Desagüe para tina con sistema de push. Acabado Cromo.,Coladeras,"
El Desagüe para tina de Helvex es un producto que ofrece una instalación de Simplo y un acabado cromado. Esta herramienta de desagües es fácil de instalar y se adapta a la mayoría de los baños. El diseño de push de este desagüe para tina permite una fácil apertura y cierre. Está fabricado con materiales resistentes para garantizar una larga vida útil. El acabado cromado aporta un toque moderno y elegante a tu baño. El Desagüe para tina de Helvex es una excelente opción para quienes buscan un producto de calidad a un precio asequible.",
Llave de cocina E-309,Monomando para fregadero con dos tipos de chorro (aerado y tipo regadera) Con cabezal movible 360º. Cuello giratorio. Acabado Cromo. Presión mínima requerida 1.0 kg/cm2.,Monomando cocina,"La Llave de cocina E-309 de Helvex es un monomando para cocina con dos tipos de chorro (aerado y tipo regadera). Esta llave monomando para fregadero cuenta con un cabezal movible de 360 grados, así como un cuello giratorio, para una instalación de Simplo. Esta llave de cocina viene con un acabado cromado y una presión mínima requerida de 1.0 kg/cm2. Esta llave de cocina es una gran opción para tu cocina, ya que es fácil de instalar y ofrece un gran alcance para una variedad de tareas. Además, su diseño elegante y moderno seguramente se verá bien en cualquier cocina.",
Toallero sencillo Piazza,Toallero sencillo. Acabado Cromo,Toallero,"
El Toallero sencillo Piazza de Helvex es una excelente opción para los baños modernos. Este toallero es de acabado cromo y es una solución práctica para mantener los toallas limpias y ordenadas. La instalación es sencilla, gracias a la instalación de Simplo. Está diseñado para ser un porta toallas versátil, con una capacidad para albergar hasta cuatro toallas. El diseño moderno de este toallero le da un toque de estilo a cualquier baño. Está hecho de metal resistente y duradero, lo que lo hace ideal para uso diario. El toallero Piazza es una excelente opción para los baños modernos.",
Coladera para Exterior,"Coladera de rejilla redonda, con canastilla para sedimentos. Conexión para tubo de 102 mm (4"") de rescar Para terrazas, plantas indrustriales, fábricas, tránsito pesado. Usos: Para jardines o terrazas con plantas.",Coladeras,"La Coladera para Exterior de Helvex es el desagüe perfecto para terrazas, jardines, plantas industriales, fábricas y tránsito pesado. Esta coladera cuenta con una rejilla redonda y una canastilla para sedimentos. Su conexión para tubo de 102 mm (4"") de rescate es ideal para una instalación de Simplo. Esta coladera es perfecta para asegurar el buen desempeño de los desagües de tu terraza o jardín, permitiendo que las aguas pluviales sean desviadas de forma segura. Esta coladera es resistente al desgaste y está fabricada con materiales de la más alta calidad para garantizar la durabilidad.",
Portacepillos Kúbica,Portacepillos Kúbica. Acabado Cromo,Portacepillos,"
Portacepillos Kúbica de Helvex es una herramienta de instalación de Simplo que se destaca por su acabado cromado. El portacepillos es de diseño moderno, con una estructura sólida y duradera. Su superficie lisa y ligeramente curvada permite una instalación rápida y sencilla. El portacepillos Kúbica es una herramienta versátil, perfecta para guardar y organizar los cepillos de dientes. Su diseño minimalista se destaca en cualquier baño, ofreciendo una solución estética y práctica para guardar los cepillos. Esta herramienta de instalación de Simplo es una excelente opción para mantener el baño organizado y limpio.",
Coladera para Baño,"Coladera de tres bocas, rejilla cuadrada. Sello hidráulico. No permite el paso de malos olores.",Coladeras,"
La Coladera para Baño de Helvex es un producto de primera calidad, que ofrece una gran resistencia a los desagües. Su rejilla cuadrada de tres bocas, con un sello hidráulico, asegura que no haya malos olores. Esta coladera es ideal para la instalación de Simplo, ya que se instala fácilmente con una conexión de desagüe estándar. Esta coladera también es resistente a la corrosión, por lo que es una excelente opción para usar en baños con uso frecuente. Su diseño moderno se adapta a cualquier baño, y su acabado en cromo hace que sea fácil de limpiar. Esta coladera para baño de Helvex es una excelente opción para los baños de tu hogar.",
Regadera multichorro H-3302,"Regadera redonda multichorro de plato ancho de 10"". Con botón de cambios en el plato para 3 tipos de sensaciones. Incluye brazo angular 90º y chapetón. Sistema anticalcáreo. Acabado Cromo. Presión mínima de funcionamiento 1.00 kg/cm2. Cosumo máximo de agua 10 L/min.",Regaderas,"La Regadera multichorro H-3302 de Helvex es una regadera para baño con una presión mínima de funcionamiento de 1.00 kg/cm2 y un consumo máximo de agua de 10 L/min. Esta regadera de baño redonda de plato ancho de 10"" incluye un botón de cambios en el plato para 3 tipos de sensaciones, un brazo angular de 90º y chapetón. Además, cuenta con un acabado cromo y un sistema anticalcáreo para una instalación de Simplo. Esta regadera de baño es perfecta para aquellos que buscan una experiencia de ducha única y cómoda.",
Asiento redondo para WC ATR-1,"Asiento para WC redondo, frente abierto, cierre estandar con antibacterial.",Asientos WC,"El Asiento Redondo para WC ATR-1 de Helvex es el asiento perfecto para tu taza de baño. Ofrece una instalación de Simplo para una instalación rápida y sencilla. Cuenta con un frente abierto y un cierre estandar con antibacterial para una mayor durabilidad. El asiento para WC es ergonómico, con un diseño moderno y cómodo. El asiento es resistente al calor y al agua, manteniendo su color y su brillo durante mucho tiempo. Además, el asiento para WC es fácil de limpiar y mantener, por lo que es ideal para uso en el hogar. El Asiento Redondo para WC ATR-1 de Helvex es la mejor opción para tu taza de baño.",
Llave con pedal expuesto,Llave para lavabo con pedal expuesto. No incluye contra. Incluye manguera de conexión a la salida y a la válvula de pedal. Presión mínima requerida 0.25 kg/cm2. Acabado Cromo,Monomando cocina,"La Llave con pedal expuesto de Helvex es una excelente opción para los monomandos para cocina y llaves monomando para cocina. Esta llave para fregadero es fácil de instalar gracias a su sistema de instalación de Simplo. Además, ofrece un acabado cromado moderno y resistente. La presión mínima requerida para su funcionamiento es de 0.25 kg/cm2. Esta llave cuenta con una manguera de conexión a la salida y a la válvula de pedal, para una instalación sencilla. Su diseño ergonómico, con pedal expuesto, hace que sea muy sencillo de utilizar. Esta llave es una excelente opción para cualquier cocina moderna.",
Lavabo Morea 1 perforación,"Lavabo de una perforación de sobreponer con rebosadero con inserto cromado Morea. Cerámica al alto brillo, grado de calidad ""A"" y grueso espesor. Compatible con Monomandos bajos.",Lavabos,"El Lavabo Morea 1 perforación de Helvex es un lavamanos ideal para baño, fabricado con cerámica al alto brillo y grado de calidad ""A"", con un espesor grueso para una mayor resistencia. Su diseño con una perforación de sobreponer y un inserto cromado Morea ofrece una instalación de Simplo, para una mayor facilidad de uso. Además, el rebosadero con el inserto cromado le da un toque moderno al lavabo. Este lavabo es la combinación perfecta entre resistencia, diseño y prácticidad.",
Juego de Manerales Primma,Manerales grandes para mezcladora de lavabo y para ensamble de regadera. Incluye Chapetones,Manerales,"
El Juego de Manerales Primma de Helvex es una excelente opción para la instalación de Simplo en su baño. Está compuesto por manerales grandes para mezcladora de lavabo, chapetones y llaves de paso. Es una excelente opción para aquellos que buscan una solución práctica para la instalación de sus llaves de baño. Estos manerales son fabricados con materiales de la más alta calidad, lo que los hace resistentes y duraderos. Estos manerales son fáciles de instalar y mantener, lo que los hace ideales para el uso diario. Además, estos manerales se ajustan perfectamente a la mezcladora de lavabo, garantizando una instalación segura y eficiente. El Juego de Manerales Primma de Helvex es la mejor opción para aquellos que buscan una solución simple y eficaz para la instalación de sus llaves de baño.",
